drug_id,alias,alias_type,source,source_ref,normalized_key
,11beta-hydroxysteroid Dehydrogenase Type 1 Inhibitor AZD4017,investigational_name,NCI_DD_INV,,11betahydroxysteroiddehydrogenasetype1inhibitorazd4017
,AZD4017,nci_alias,NCI_DD_INV,,azd4017
,AZD-4017,nci_alias,NCI_DD_INV,,azd4017
,AZD 4017,nci_alias,NCI_DD_INV,,azd4017
,11b-HSD1 inhibitor AZD4017,nci_alias,NCI_DD_INV,,11bhsd1inhibitorazd4017
,11bHSD1 inhibitor AZD4017,nci_alias,NCI_DD_INV,,11bhsd1inhibitorazd4017
,1024033-43-9,nci_alias,NCI_DD_INV,,1024033439
,11-beta-hydroxysteroid Dehydrogenase Type 1 Inhibitor AZD4017,nci_alias,NCI_DD_INV,,11betahydroxysteroiddehydrogenasetype1inhibitorazd4017
,4H11-28z/fIL-12/EGFRt-expressing autologous T-lymphocytes,investigational_name,NCI_DD_INV,,4h1128zfil12egfrtexpressingautologoustlymphocytes
,4H11-28z/fIL-12/EFGRt+ T cells,nci_alias,NCI_DD_INV,,4h1128zfil12efgrttcells
,4H11-28z/fIL-12/EFGRt+ genetically-modified T cells,nci_alias,NCI_DD_INV,,4h1128zfil12efgrtgeneticallymodifiedtcells
,autologous 4H11-28z/fIL-12/EFGRt+ genetically-modified T cells,nci_alias,NCI_DD_INV,,autologous4h1128zfil12efgrtgeneticallymodifiedtcells
,autologous HLA-A2/NY-ESO-1-specific TCR gene-transduced T lymphocytes,nci_alias,NCI_DD_INV,,autologoushlaa2nyeso1specifictcrgenetransducedtlymphocytes
,autologous MUC16ecto-targeting EGFR-secreting T lymphocytes,nci_alias,NCI_DD_INV,,autologousmuc16ectotargetingegfrsecretingtlymphocytes
,4H11-28z/fIL-12/EGFRt+ genetically-modified T cells,nci_alias,NCI_DD_INV,,4h1128zfil12egfrtgeneticallymodifiedtcells
,4H11-28z/fIL-12/EGFRt+ T cells,nci_alias,NCI_DD_INV,,4h1128zfil12egfrttcells
,autologous 4H11-28z/fIL-12/EGFRt+ genetically-modified T cells,nci_alias,NCI_DD_INV,,autologous4h1128zfil12egfrtgeneticallymodifiedtcells
