Trial ID,Arm,Drug/Radiation Modality,Sequence,Dose/Timing,Notes
"11-C-0161","Arm 1","Selumetinib (AZD6244) – targeted MEK inhibitor","Continuous cycles (Phase I/II trial)","Oral 25 mg/m² BID in 28-day cycles (continuous until progression):contentReference[oaicite:0]{index=0}","NF1-associated inoperable plexiform neurofibromas (SPRINT trial); Ages 2–18; no chemotherapy or radiation:contentReference[oaicite:1]{index=1}:contentReference[oaicite:2]{index=2}"
"AALL0434","High-risk T-ALL (nelarabine arm)","Multi-agent chemotherapy (vincristine, corticosteroids, pegaspargase, doxorubicin, cyclophosphamide, cytarabine, 6-MP) + Nelarabine; CNS prophylactic RT","Induction → Consolidation → Delayed Intensification → Maintenance","Nelarabine added in consolidation (5-day courses x2):contentReference[oaicite:3]{index=3}; Cranial RT 12 Gy (CNS1/CNS2) or 18 Gy (CNS3) during consolidation:contentReference[oaicite:4]{index=4}","COG Phase III for T-ALL; tested addition of nelarabine to standard ABFM regimen:contentReference[oaicite:5]{index=5}. All patients received prophylactic cranial irradiation (higher dose for CNS3 disease):contentReference[oaicite:6]{index=6}"
"AALL0434","High-risk T-ALL (no nelarabine)","Multi-agent chemotherapy (same backbone as above, without nelarabine); CNS RT prophylaxis","Induction → Consolidation → Delayed Intensification → Maintenance","Cranial RT per CNS status (12–18 Gy) in consolidation:contentReference[oaicite:7]{index=7}","Control arm without nelarabine:contentReference[oaicite:8]{index=8}. Trial showed nelarabine improved disease-free survival especially in high-risk T-ALL:contentReference[oaicite:9]{index=9}"
"ACNS0331","Arm I (3–7y, LDCSI+IFRT)","Surgery + Reduced-dose CSI (18 Gy) + focal IFRT boost + chemotherapy","Post-op induction chemo → Radiation (reduced dose/volume) → Maintenance chemo","CSI 18 Gy + involved-field RT boost; Weekly vincristine during RT; 9 cycles maintenance chemo (cisplatin, CCNU, vincristine):contentReference[oaicite:10]{index=10}","COG average-risk medulloblastoma age 3–7 randomized to lower CSI (LDCSI) and involved-field RT:contentReference[oaicite:11]{index=11}; required GTR/near GTR, M0 disease:contentReference[oaicite:12]{index=12}"
"ACNS0331","Arm II (3–7y, LDCSI+PFRT)","Surgery + Reduced-dose CSI (18 Gy) + **posterior fossa** RT boost + chemotherapy","Induction chemo → Radiation (LD CSI, full posterior fossa) → Maintenance chemo","CSI 18 Gy + full posterior fossa  boost ~54 Gy; chemo as Arm I","Compared IFRT vs PFRT boost:contentReference[oaicite:13]{index=13} and low vs standard CSI in young children. Arm II: low-dose CSI + whole posterior fossa RT"
"ACNS0331","Arm III (3–7y, SDCSI+IFRT)","Surgery + Standard CSI (23.4 Gy) + focal IFRT boost + chemotherapy","Induction chemo → Radiation (standard CSI, involved-field) → Maintenance chemo","CSI 23.4 Gy + involved-field boost; weekly vincristine; maintenance cisplatin/CCNU/vcr","Randomized standard vs reduced RT dosing:contentReference[oaicite:14]{index=14}. Arm III: standard CSI with IFRT (age 3–7):contentReference[oaicite:15]{index=15}"
"ACNS0331","Arm IV (3–7y, SDCSI+PFRT)","Surgery + Standard CSI (23.4 Gy) + posterior fossa RT boost + chemotherapy","Induction chemo → Radiation (std CSI, full PF) → Maintenance chemo","CSI 23.4 Gy + posterior fossa to ~54 Gy; chemo per protocol","Average-risk MB age 3–7; Arm IV: standard-dose CSI + PFRT:contentReference[oaicite:16]{index=16}"
"ACNS0331","Arm V (8–21y, SDCSI+IFRT)","Surgery + Standard CSI (23.4 Gy) + involved-field RT + chemotherapy","Post-op RT (CSI 23.4 + IFRT) → Maintenance chemotherapy","CSI 23.4 Gy for ≥8y; boost to tumor bed; 8 cycles cisplatin-based chemo","Average-risk MB age ≥8. Older cohort only received standard-dose CSI (no low-CSI randomization):contentReference[oaicite:17]{index=17}; Arm V: IFRT boost"
"ACNS0331","Arm VI (8–21y, SDCSI+PFRT)","Surgery + Standard CSI (23.4 Gy) + posterior fossa RT + chemotherapy","Post-op RT (CSI 23.4 + full PF) → Maintenance chemotherapy","CSI 23.4 Gy; full posterior fossa boost to ~36 Gy (total ~55.4 Gy):contentReference[oaicite:18]{index=18}","Average-risk MB age ≥8; Arm VI: standard CSI + whole posterior fossa radiation. Trial found involved-field RT was non-inferior to whole PF:contentReference[oaicite:19]{index=19}; low-dose CSI was inferior for EFS:contentReference[oaicite:20]{index=20}"
"ACNS0332","Regimen A (No carbo/No isotretinoin)","Surgery + CSI (36 Gy) + adjuvant chemo (vincristine/cisplatin/cyclophosphamide) **without** carboplatin or isotretinoin","Post-op RT (standard dose CSI) with vincristine → Maintenance chemo x6 cycles","CSI ~36 Gy + boost 54 Gy (high-risk MB):contentReference[oaicite:21]{index=21}:contentReference[oaicite:22]{index=22}; cisplatin, cyclophos, vincristine maintenance ×6; **no** carboplatin or isotretinoin","COG high-risk medulloblastoma trial; baseline arm:contentReference[oaicite:23]{index=23}. Eligibility: metastatic (M1–M4) or diffuse anaplastic MB, age 3–21:contentReference[oaicite:24]{index=24}"
"ACNS0332","Regimen B (Carboplatin, no isotretinoin)","CSI + concurrent **carboplatin** radiosensitization + maintenance chemo (no isotretinoin)","Post-op RT + carboplatin (radiosensitizer) → Maintenance chemo x6","Carboplatin 35 mg/m² daily during CSI:contentReference[oaicite:25]{index=25}; standard maintenance chemo (cisplatin/vcr/CTX)","Experimental arm testing carboplatin during radiation:contentReference[oaicite:26]{index=26}. Result: Carboplatin during RT improved 5-yr EFS in Group 3 MB (73% vs 54%):contentReference[oaicite:27]{index=27}:contentReference[oaicite:28]{index=28}"
"ACNS0332","Regimen C (No carbo, plus isotretinoin)","CSI + standard chemo + **isotretinoin** maintenance (6–12 cycles)","Post-op RT (no carbo) → Maintenance chemo + isotretinoin cycles","Isotretinoin 160 mg/m² orally (QOD ×12 cycles) added after chemo:contentReference[oaicite:29]{index=29}","Isotretinoin (13-cis-RA) added for possible anti-tumor differentiation:contentReference[oaicite:30]{index=30}. Arms C/D (isotretinoin) closed early for futility (no EFS benefit):contentReference[oaicite:31]{index=31}"
"ACNS0332","Regimen D (Carboplatin + isotretinoin)","CSI + carboplatin during RT + maintenance chemo + isotretinoin","Post-op RT + carboplatin → Maintenance chemo + isotretinoin","Carboplatin during CSI; isotretinoin maintenance as above","Combined experimental arm (carbo + iso). Isotretinoin arms stopped early (futility) in 2015:contentReference[oaicite:32]{index=32}; carboplatin question continued:contentReference[oaicite:33]{index=33}"
"ACNS0333","Arm I (Chemo→PBSC→RT)","Intensive induction chemo + autologous stem cell harvest → high-dose chemo with PBSC rescue → 3D conformal RT","Induction (2 cycles) → Consolidation (3 high-dose chemo + stem cell transplants) → Radiation (post-chemo)","Induction: vincristine, high-dose methotrexate (5 g/m²) with leucovorin rescue, then etoposide/cyclophosphamide/cisplatin:contentReference[oaicite:34]{index=34}:contentReference[oaicite:35]{index=35}; Consolidation: 3 cycles high-dose carboplatin (approx. 500 mg/m²) + thiotepa (300 mg/m²) with PBSC rescue:contentReference[oaicite:36]{index=36}:contentReference[oaicite:37]{index=37}; 3D-CRT ~50–54 Gy to tumor bed:contentReference[oaicite:38]{index=38}","COG ACNS0333 for newly diagnosed AT/RT (atypical teratoid/rhabdoid tumor):contentReference[oaicite:39]{index=39} in infants/young children. **Arm I**: chemo first then delayed radiation:contentReference[oaicite:40]{index=40} (for patients <6m infratentorial, <12m supratentorial, or metastatic at any age):contentReference[oaicite:41]{index=41}"
