"decision_name","instruction","decision_type","prompt_template","variables"
"diagnosis_surgery1","Return the diagnosis associated with the FIRST surgery (earliest surgery_date). FILTERING LOGIC: 1. Identify the EARLIEST value in the surgery_date variable (first surgery date) 2. Look for surgery_diagnosis values associated with that date 3. If surgery_diagnosis not available, use primary_diagnosis from documents near that date 4. Prioritize pathology-confirmed diagnoses. Gold Standard for C1277724 Surgery 1 (2018-05-28): Pilocytic astrocytoma. Return ONLY the diagnosis text. If no diagnosis found, return ""Unknown"".","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_date"", ""surgery_diagnosis"", ""primary_diagnosis"", ""document_type""]"
"extent_surgery1","Return the extent of resection for the FIRST surgery (earliest surgery_date). FILTERING LOGIC: 1. Identify the EARLIEST value in surgery_date (first surgery date) 2. Find surgery_extent values associated with that date 3. Prioritize document_type=OPERATIVE (surgeons assessment is most authoritative). VALID RETURN VALUES: Must be one of: Gross Total Resection, Near Total Resection, Subtotal Resection, Partial Resection, Biopsy Only, Unknown. Gold Standard for C1277724 Surgery 1 (2018-05-28): Partial Resection. Return ONLY the extent classification.","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_date"", ""surgery_extent"", ""document_type""]"
"location_surgery1","Return the anatomical location for the FIRST surgery (earliest surgery_date). FILTERING LOGIC: 1. Identify the EARLIEST value in surgery_date (first surgery date) 2. Find surgery_location values associated with that date 3. Use most specific location mentioned. Gold Standard for C1277724 Surgery 1 (2018-05-28): Cerebellum/Posterior Fossa. Return ONLY the location name.","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_date"", ""surgery_location"", ""document_type""]"
"diagnosis_surgery2","Return the diagnosis for the SECOND surgery if it exists (second earliest surgery_date). FILTERING LOGIC: 1. Check if surgery_number >= 2 (patient had at least 2 surgeries) 2. If yes: Identify the SECOND EARLIEST value in surgery_date 3. Find surgery_diagnosis associated with that date 4. If not available, use primary_diagnosis from documents near that date 5. If surgery_number < 2: Return ""Unknown"". Gold Standard for C1277724 Surgery 2 (2021-03-10): Pilocytic astrocytoma, recurrent. Return ONLY the diagnosis text.","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_number"", ""surgery_date"", ""surgery_diagnosis"", ""primary_diagnosis"", ""document_type""]"
"extent_surgery2","Return the extent of resection for the SECOND surgery if it exists. FILTERING LOGIC: 1. Check if surgery_number >= 2 2. If yes: Identify SECOND EARLIEST surgery_date 3. Find surgery_extent associated with that date 4. If surgery_number < 2: Return ""Unknown"". Gold Standard for C1277724 Surgery 2 (2021-03-10): Partial Resection. Return ONLY the extent classification.","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_number"", ""surgery_date"", ""surgery_extent"", ""document_type""]"
"location_surgery2","Return the anatomical location for the SECOND surgery if it exists. FILTERING LOGIC: 1. Check if surgery_number >= 2 2. If yes: Identify SECOND EARLIEST surgery_date 3. Find surgery_location associated with that date 4. If surgery_number < 2: Return ""Unknown"". Gold Standard for C1277724 Surgery 2 (2021-03-10): Cerebellum/Posterior Fossa. Return ONLY the location name.","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_number"", ""surgery_date"", ""surgery_location"", ""document_type""]"
"total_surgeries","Count the total number of distinct surgeries for this patient. AGGREGATION LOGIC: Count the number of unique values in surgery_date variable. This should match the surgery_number variable. Gold Standard for C1277724: 2. Return ONLY the integer count.","integer","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""surgery_date""]"
"all_chemotherapy_agents","Aggregate all chemotherapy agents into a semicolon-separated list. AGGREGATION LOGIC: 1. Collect ALL chemotherapy_agents values extracted across all documents 2. Remove duplicate agent names 3. Return as semicolon-separated list. Gold Standard for C1277724: vinblastine;bevacizumab;selumetinib. Return in format: ""agent1;agent2;agent3""","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""chemotherapy_agents""]"
"all_symptoms","Aggregate all documented symptoms into a semicolon-separated list. AGGREGATION LOGIC: 1. Collect ALL symptoms_present values across all documents 2. Remove duplicates 3. Return as semicolon-separated list. Gold Standard for C1277724: Emesis;Headaches;Hydrocephalus;Visual deficit;Posterior fossa syndrome. Return in format: ""symptom1;symptom2;symptom3""","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""symptoms_present""]"
"earliest_symptom_date","Identify the earliest date when symptoms were first documented. AGGREGATION LOGIC: 1. Find the EARLIEST document where symptoms_present != ""None documented"" 2. Prioritize document_type=H&P or CONSULTATION (initial presentation) 3. Return the document date. Gold Standard for C1277724: Around initial diagnosis date (2018-06-04). Return in YYYY-MM-DD format or ""Unknown"".","text","""{instruction}""	
Output with the following JSON format:	
  [	  
    {{	  
        ""{name}"": {decision_type}\,
        ""document_id"": int\,
        ""Raw Text"": text\, // VERBATIM raw text used to determine if ""{name}"".
    }}
  ]","[""symptoms_present"", ""document_type""]"
