variable_name,instruction,prompt_template,aggregation_instruction,aggregation_prompt_template,variable_type,scope,option_definitions,aggregation_option_definitions,only_use_true_value_in_aggregation,default_value_for_empty_response
patient_gender,"PRIORITY 1: Check patient_demographics.csv FIRST for this patient_fhir_id. If found, return the 'gender' value EXACTLY as written (capitalize to Title Case if needed). Data Dictionary: legal_sex (dropdown: 0=Male, 1=Female, 2=Unavailable). Gold Standard for C1277724: Female. CRITICAL: patient_demographics.csv is pre-populated from Athena fhir_v2_prd_db.patient_access table. Return EXACTLY 'Male' or 'Female' (Title Case). If patient_fhir_id not in patient_demographics.csv, return 'Unavailable'. DO NOT extract from clinical notes.",,,,text,one_per_patient,"{""Male"": ""Male"", ""Female"": ""Female"", ""Unavailable"": ""Unavailable""}",,,Unavailable
date_of_birth,"PRIORITY 1: Check patient_demographics.csv FIRST for this patient_fhir_id. If found, return the 'birth_date' value in YYYY-MM-DD format. Data Dictionary: date_of_birth (text field, yyyy-mm-dd). Gold Standard for C1277724: 2005-05-13. CRITICAL: patient_demographics.csv is pre-populated from Athena fhir_v2_prd_db.patient_access table. Return exact date as YYYY-MM-DD. If patient_fhir_id not in patient_demographics.csv, return 'Unavailable'. DO NOT extract from clinical notes.",,,,text,one_per_patient,,,,Unavailable
age_at_diagnosis,"CRITICAL: DO NOT extract age from clinical notes text. PRIORITY 1: Check patient_demographics.csv for date_of_birth. Calculate using formula: FLOOR((diagnosis_date - date_of_birth) / 365.25) years. Data Dictionary: age_at_diagnosis (number field). Gold Standard for C1277724: date_of_birth=2005-05-13, diagnosis_date=2018-06-04, age=13 years (NOT 15 years). CRITICAL: Block all text extraction. MUST calculate from dates only. If either date unavailable, return 'Unknown'. Return integer with no decimals (e.g., '13' not '13.06').",,,,text,one_per_patient,,,,Unknown
race,"PRIORITY 1: Check patient_demographics.csv FIRST for this patient_fhir_id. If found, return the 'race' value EXACTLY as written. Data Dictionary: race (checkbox, multiple selections). Valid values: 'White', 'Black or African American', 'Asian', 'Native Hawaiian or Other Pacific Islander', 'American Indian or Alaska Native', 'Other', 'Unavailable'. Gold Standard for C1277724: White. CRITICAL: patient_demographics.csv is pre-populated from Athena fhir_v2_prd_db.patient_access table with US Core race extensions already parsed. If patient_fhir_id not in patient_demographics.csv, return 'Unavailable'. DO NOT extract from clinical notes.",,,,text,one_per_patient,"{""White"": ""White"", ""Black or African American"": ""Black or African American"", ""Asian"": ""Asian"", ""Native Hawaiian or Other Pacific Islander"": ""Native Hawaiian or Other Pacific Islander"", ""American Indian or Alaska Native"": ""American Indian or Alaska Native"", ""Other"": ""Other"", ""Unavailable"": ""Unavailable""}",,,Unavailable
ethnicity,"PRIORITY 1: Check patient_demographics.csv FIRST for this patient_fhir_id. If found, return the 'ethnicity' value EXACTLY as written. Data Dictionary: ethnicity (radio, single selection). Valid values: 'Hispanic or Latino', 'Not Hispanic or Latino', 'Unavailable'. Gold Standard for C1277724: Not Hispanic or Latino. CRITICAL: patient_demographics.csv is pre-populated from Athena fhir_v2_prd_db.patient_access table with US Core ethnicity extensions already parsed. Return EXACTLY one value. If patient_fhir_id not in patient_demographics.csv, return 'Unavailable'. DO NOT extract from clinical notes.",,,,text,one_per_patient,"{""Hispanic or Latino"": ""Hispanic or Latino"", ""Not Hispanic or Latino"": ""Not Hispanic or Latino"", ""Unavailable"": ""Unavailable""}",,,Unavailable
primary_diagnosis,"PRIORITY 1: Check FHIR Condition resources for primary CNS tumor diagnosis. Data Dictionary: cns_integrated_diagnosis (checkbox with 123 options based on 2021 WHO CNS Classification). Gold Standard for C1277724: 'Pilocytic astrocytoma' or 'Astrocytoma, pilocytic'. CRITICAL: Extract from Condition.code.coding.display. Look for keywords: pilocytic, astrocytoma, glioma. Return diagnosis name as free text. If multiple conditions, prioritize oncology diagnosis with earliest onset date. If not found in FHIR, search pathology reports for diagnosis keywords.",,,,text,one_per_patient,,,,Unknown
diagnosis_date,"PRIORITY 1: Check FHIR Condition resources for primary CNS tumor diagnosis onset date. Data Dictionary: age_at_event_days (converted from date). Gold Standard for C1277724: 2018-06-04. CRITICAL: Extract from Condition.onsetDateTime or recordedDate. Return in YYYY-MM-DD format. If multiple diagnosis dates, return earliest. If not found in FHIR, search clinical notes for 'diagnosed on' or 'diagnosis date' keywords. Fallback: use first surgery date if diagnosis date unavailable.",,,,text,one_per_patient,,,,Unknown
who_grade,"PRIORITY 1: Check pathology reports and molecular testing documents for WHO grade classification. Data Dictionary: who_grade (dropdown: 1, 2, 3, 4, No grade specified). Gold Standard for C1277724: 'Grade I' (pilocytic astrocytoma is WHO Grade I). CRITICAL: Return EXACTLY 'Grade I', 'Grade II', 'Grade III', 'Grade IV', or 'No grade specified'. Match Title Case. Look for keywords: 'WHO grade', 'Grade I', 'low-grade'. If diagnosis is pilocytic astrocytoma and no grade specified, infer 'Grade I' (standard for this diagnosis). DO NOT return numeric values (1, 2, 3, 4) - use 'Grade I' format.",,,,text,one_per_patient,"{""Grade I"": ""Grade I"", ""Grade II"": ""Grade II"", ""Grade III"": ""Grade III"", ""Grade IV"": ""Grade IV"", ""No grade specified"": ""No grade specified""}",,,No grade specified
tumor_location,"PRIORITY 1: Check imaging reports, pathology reports, and operative notes for TUMOR anatomical location (NOT surgical approach). Data Dictionary: tumor_location (checkbox with 24 options). Gold Standard for C1277724: 'Cerebellum/Posterior Fossa'. Valid values: 'Frontal Lobe', 'Temporal Lobe', 'Parietal Lobe', 'Occipital Lobe', 'Thalamus', 'Ventricles', 'Suprasellar/Hypothalamic/Pituitary', 'Cerebellum/Posterior Fossa', 'Brain Stem-Medulla', 'Brain Stem-Midbrain/Tectum', 'Brain Stem-Pons', 'Spinal Cord-Cervical', 'Spinal Cord-Thoracic', 'Spinal Cord-Lumbar/Thecal Sac', 'Optic Pathway', 'Cranial Nerves NOS', 'Other locations NOS', 'Spine NOS', 'Pineal Gland', 'Basal Ganglia', 'Hippocampus', 'Meninges/Dura', 'Skull', 'Unavailable'. CRITICAL: Extract WHERE tumor is located (anatomical site), NOT surgical procedure location. DO NOT return 'Craniotomy' or 'Skull'. Look for: 'cerebellar tumor', 'posterior fossa mass', 'cerebellar hemisphere'. Return EXACTLY one of the 24 valid values.",,,,text,one_per_patient,"{""Frontal Lobe"": ""Frontal Lobe"", ""Temporal Lobe"": ""Temporal Lobe"", ""Parietal Lobe"": ""Parietal Lobe"", ""Occipital Lobe"": ""Occipital Lobe"", ""Thalamus"": ""Thalamus"", ""Ventricles"": ""Ventricles"", ""Suprasellar/Hypothalamic/Pituitary"": ""Suprasellar/Hypothalamic/Pituitary"", ""Cerebellum/Posterior Fossa"": ""Cerebellum/Posterior Fossa"", ""Brain Stem-Medulla"": ""Brain Stem-Medulla"", ""Brain Stem-Midbrain/Tectum"": ""Brain Stem-Midbrain/Tectum"", ""Brain Stem-Pons"": ""Brain Stem-Pons"", ""Spinal Cord-Cervical"": ""Spinal Cord-Cervical"", ""Spinal Cord-Thoracic"": ""Spinal Cord-Thoracic"", ""Spinal Cord-Lumbar/Thecal Sac"": ""Spinal Cord-Lumbar/Thecal Sac"", ""Optic Pathway"": ""Optic Pathway"", ""Cranial Nerves NOS"": ""Cranial Nerves NOS"", ""Other locations NOS"": ""Other locations NOS"", ""Spine NOS"": ""Spine NOS"", ""Pineal Gland"": ""Pineal Gland"", ""Basal Ganglia"": ""Basal Ganglia"", ""Hippocampus"": ""Hippocampus"", ""Meninges/Dura"": ""Meninges/Dura"", ""Skull"": ""Skull"", ""Unavailable"": ""Unavailable""}",,,Unavailable
idh_mutation,"PRIORITY 1: Check molecular testing reports and pathology documents for IDH mutation status. Data Dictionary: idh_mutation (radio: Mutant, Wildtype, Unknown, Not tested). Gold Standard for C1277724: 'IDH wild-type' (pilocytic astrocytoma with BRAF fusion is IDH wildtype). CRITICAL: Return EXACTLY one of: 'IDH mutant', 'IDH wild-type', 'Unknown', 'Not tested'. Look for keywords: 'IDH mutation', 'IDH1', 'IDH2', 'wildtype', 'wild-type'. INFERENCE RULE: If BRAF fusion detected and no IDH mention, return 'IDH wild-type' (BRAF and IDH mutations are mutually exclusive). If no molecular testing mentioned, return 'Not tested'.",,,,text,one_per_patient,"{""IDH mutant"": ""IDH mutant"", ""IDH wild-type"": ""IDH wild-type"", ""Unknown"": ""Unknown"", ""Not tested"": ""Not tested""}",,,Not tested
