paradigm_id,type,patient_count,drug_count,drugs,description
C055,drug_combination,50,2,G-CSF; plerixafor,G-CSF + plerixafor
C054,drug_combination,50,2,filgrastim; plerixafor,filgrastim + plerixafor
C056,drug_combination,43,2,mesna; plerixafor,mesna + plerixafor
C057,drug_combination,40,2,pegfilgrastim; plerixafor,pegfilgrastim + plerixafor
C058,drug_combination,38,2,Cyclophosphamide; plerixafor,Cyclophosphamide + plerixafor
C059,drug_combination,38,2,Cyclophosphamid; plerixafor,Cyclophosphamid + plerixafor
C060,drug_combination,37,2,Vinblastin; vinblastine,Vinblastin + vinblastine
C061,drug_combination,34,2,plerixafor; vincristine,plerixafor + vincristine
C062,drug_combination,33,2,cisplatin; plerixafor,cisplatin + plerixafor
C063,drug_combination,32,2,irinotecan; vincristine,irinotecan + vincristine
C064,drug_combination,31,2,etoposide; plerixafor,etoposide + plerixafor
P001,complete_drug_set,31,2,carboplatin; vincristine,"2 drugs: carboplatin, vincristine"
C066,drug_combination,31,2,Cyclophosphamid; topotecan,Cyclophosphamid + topotecan
C065,drug_combination,31,2,Cyclophosphamide; topotecan,Cyclophosphamide + topotecan
C067,drug_combination,29,2,filgrastim; topotecan,filgrastim + topotecan
C068,drug_combination,27,2,pegfilgrastim; topotecan,pegfilgrastim + topotecan
C069,drug_combination,24,2,Cyclophosphamide; Neulasta,Cyclophosphamide + Neulasta
C070,drug_combination,24,2,Cyclophosphamid; Neulasta,Cyclophosphamid + Neulasta
C071,drug_combination,24,2,etoposide; topotecan,etoposide + topotecan
C072,drug_combination,21,2,Neulasta; vincristine,Neulasta + vincristine
C073,drug_combination,21,2,Vinblastin; bevacizumab,Vinblastin + bevacizumab
C074,drug_combination,21,2,bevacizumab; vinblastine,bevacizumab + vinblastine
C075,drug_combination,20,2,methotrexate; triamcinolone,methotrexate + triamcinolone
C076,drug_combination,19,2,Leucovorin; doxorubicin,Leucovorin + doxorubicin
C077,drug_combination,19,2,Neulasta; cisplatin,Neulasta + cisplatin
C078,drug_combination,19,2,bevacizumab; lomustine,bevacizumab + lomustine
C079,drug_combination,19,2,filgrastim; irinotecan,filgrastim + irinotecan
C080,drug_combination,18,2,irinotecan; pegfilgrastim,irinotecan + pegfilgrastim
C084,drug_combination,17,2,G-CSF; topotecan,G-CSF + topotecan
C081,drug_combination,17,2,Leucovorin; dexrazoxane,Leucovorin + dexrazoxane
C082,drug_combination,17,2,Cyclophosphamide; bevacizumab,Cyclophosphamide + bevacizumab
C083,drug_combination,17,2,Cyclophosphamid; bevacizumab,Cyclophosphamid + bevacizumab
C085,drug_combination,16,2,temozolomide; triamcinolone,temozolomide + triamcinolone
C086,drug_combination,16,2,G-CSF; Nivestym,G-CSF + Nivestym
C087,drug_combination,16,2,Nivestym; filgrastim,Nivestym + filgrastim
C088,drug_combination,16,2,bevacizumab; filgrastim,bevacizumab + filgrastim
C089,drug_combination,16,2,Ziextenzo; etoposide,Ziextenzo + etoposide
C090,drug_combination,15,2,Fulphila; pegfilgrastim,Fulphila + pegfilgrastim
C091,drug_combination,15,2,Fulphila; filgrastim,Fulphila + filgrastim
C098,drug_combination,14,2,Nivestym; pegfilgrastim,Nivestym + pegfilgrastim
C097,drug_combination,14,2,Nivestym; etoposide,Nivestym + etoposide
C092,drug_combination,14,2,gemcitabine; pegfilgrastim,gemcitabine + pegfilgrastim
